To type (below)  / From type (right),electricity,coal,natural gas,biomass,petroleum diesel,heat,crude oil,heavy or residual fuel oil,LPG propane or butane,hydrogen
electricity,0.8889548693586697,0.8889548693586697,0.8889548693586697,0.8889548693586697,0.8889548693586697,0.8889548693586697,0.8889548693586697,0.8889548693586697,0.8889548693586697,0.8889548693586697
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
petroleum diesel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crude oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy or residual fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG propane or butane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen,0.11104513064133026,0.11104513064133026,0.11104513064133026,0.11104513064133026,0.11104513064133026,0.11104513064133026,0.11104513064133026,0.11104513064133026,0.11104513064133026,0.11104513064133026
