To type (below)  / From type (right),electricity,coal,natural gas,biomass,petroleum diesel,heat,crude oil,heavy or residual fuel oil,LPG propane or butane,hydrogen
electricity,0.09642857142857142,0.09642857142857142,0.09642857142857142,0.09642857142857142,0.09642857142857142,0.09642857142857142,0.09642857142857142,0.09642857142857142,0.09642857142857142,0.09642857142857142
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natural gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
petroleum diesel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crude oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heavy or residual fuel oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LPG propane or butane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen,0.9035714285714286,0.9035714285714286,0.9035714285714286,0.9035714285714286,0.9035714285714286,0.9035714285714286,0.9035714285714286,0.9035714285714286,0.9035714285714286,0.9035714285714286
